1dmp	1dmp.io	[data-management-platform-dmp]
		
mediamath	http://www.mediamath.com/	[demand-side-platform-dsp, data-management-platform-dmp, display-advertising, video-advertising, social-advertising, cross-channel-advertising, advertiser-campaign-management, mobile-advertising]
doubleclick-digital-marketing	https://www.doubleclickbygoogle.com/	[demand-side-platform-dsp, display-advertising, video-advertising, search-advertising, cross-channel-advertising, advertiser-campaign-management, mobile-advertising]
ignitionone-digital-marketing-suite	http://www.ignitionone.com/	[demand-side-platform-dsp, data-management-platform-dmp, display-advertising, search-advertising, social-advertising, cross-channel-advertising, advertiser-campaign-management, mobile-advertising]
dataxu	https://www.dataxu.com/	[demand-side-platform-dsp, display-advertising, video-advertising, social-advertising, cross-channel-advertising, advertiser-campaign-management, mobile-advertising]
tubemogul	http://www.tubemogul.com/	[demand-side-platform-dsp, display-advertising, video-advertising, social-advertising, cross-channel-advertising, advertiser-campaign-management, mobile-advertising]
rocket-fuel	http://rocketfuel.com/	[demand-side-platform-dsp, display-advertising, video-advertising, social-advertising, cross-channel-advertising, advertiser-campaign-management, mobile-advertising]
appnexus-console	http://www.appnexus.com/	[demand-side-platform-dsp, display-advertising, video-advertising, cross-channel-advertising, advertiser-campaign-management, publisher-ad-management, mobile-advertising]
criteo	http://www.criteo.com/	[demand-side-platform-dsp, display-advertising, social-advertising, advertiser-campaign-management, mobile-advertising]
stackadapt	http://www.stackadapt.com	[demand-side-platform-dsp, advertiser-campaign-management]
brightroll-for-advertisers	http://www.brightroll.com/	[demand-side-platform-dsp, display-advertising, video-advertising, advertiser-campaign-management, mobile-advertising]
yume-for-advertisers	http://www.yume.com/	[demand-side-platform-dsp, video-advertising, advertiser-campaign-management, mobile-advertising]
simpli-fi	http://www.simpli.fi/platform/	[demand-side-platform-dsp, data-management-platform-dmp, display-advertising, advertiser-campaign-management, publisher-ad-management, mobile-advertising]
turn	http://www.turn.com/	[demand-side-platform-dsp, data-management-platform-dmp, display-advertising, video-advertising, social-advertising, cross-channel-advertising, advertiser-campaign-management, mobile-advertising]
the-trade-desk	http://www.thetradedesk.com/	[demand-side-platform-dsp, display-advertising, video-advertising, social-advertising, cross-channel-advertising, advertiser-campaign-management, mobile-advertising]
rubicon-project-buyer-cloud	http://www.rubiconproject.com/buyer-cloud/	[demand-side-platform-dsp, display-advertising, video-advertising, cross-channel-advertising, advertiser-campaign-management, mobile-advertising]
xaxis-prime	http://www.xaxis.com/products/view/xaxis-prime	[demand-side-platform-dsp, display-advertising, video-advertising, search-advertising, social-advertising, cross-channel-advertising, advertiser-campaign-management, mobile-advertising]
specific-media	http://specificmedia.com/	[demand-side-platform-dsp, display-advertising, video-advertising, cross-channel-advertising, advertiser-campaign-management, mobile-advertising]
adap-tv-for-advertisers	http://www.adap.tv/	[demand-side-platform-dsp, video-advertising, advertiser-campaign-management]
centro	http://www.centro.net/products/dsp-programmatic-advertising	[demand-side-platform-dsp, advertiser-campaign-management]
microsoft-advertising	http://advertising.microsoft.com/en/products	[demand-side-platform-dsp, display-advertising, video-advertising, social-advertising, advertiser-campaign-management, mobile-advertising]
tremor-video	http://www1.tremorvideo.com/en	[demand-side-platform-dsp, video-advertising, advertiser-campaign-management, publisher-ad-management]
exactdrive	http://www.exactdrive.com/	[demand-side-platform-dsp, display-advertising, video-advertising, social-advertising, advertiser-campaign-management, mobile-advertising]
a-mo-bee-for-marketers	http://www.amobee.com/marketers/	[demand-side-platform-dsp, display-advertising, video-advertising, social-advertising, advertiser-campaign-management, mobile-advertising]
triggit	http://triggit.com/	[demand-side-platform-dsp, display-advertising, social-advertising, advertiser-campaign-management]
pocketmath	http://www.pocketmath.com/#features	[demand-side-platform-dsp, advertiser-campaign-management]
adadyn	http://www.adadyn.com/about-us/	[demand-side-platform-dsp, advertiser-campaign-management]
choozle	https://choozle.com/	[demand-side-platform-dsp, advertiser-campaign-management]
audiencescience	http://www.audiencescience.com/	[demand-side-platform-dsp, display-advertising, video-advertising, cross-channel-advertising, advertiser-campaign-management, mobile-advertising]
tradedoubler	http://www.tradedoubler.com/uk-en/what-we-do/technology/	[demand-side-platform-dsp, ad-network, advertiser-campaign-management]
adzcentral	http://www.adzcentral.com/	[demand-side-platform-dsp, display-advertising, video-advertising, social-advertising, cross-channel-advertising, advertiser-campaign-management, mobile-advertising]
adform-for-advertisers	http://site.adform.com/	[demand-side-platform-dsp, display-advertising, video-advertising, cross-channel-advertising, advertiser-campaign-management, mobile-advertising]
adaptive-media	http://www.adaptivem.com/	[demand-side-platform-dsp, display-advertising, video-advertising, advertiser-campaign-management, publisher-ad-management, mobile-advertising]
cappture	http://www.cappture.com	[demand-side-platform-dsp, display-advertising, video-advertising, cross-channel-advertising, advertiser-campaign-management, mobile-advertising]
adelphic	http://www.adelphic.com/	[demand-side-platform-dsp, advertiser-campaign-management]
bidsopt	http://www.bidsopt.com	[demand-side-platform-dsp, advertiser-campaign-management]
adgear-trader	http://adgear.com/products/trader/	[demand-side-platform-dsp, data-management-platform-dmp, advertiser-campaign-management]
netadge	http://www.netadge.com	[demand-side-platform-dsp, advertiser-campaign-management]
adform-demand-side-platform	http://site.adform.com/agencies-advertisers/demand-side-platform/	[demand-side-platform-dsp, advertiser-campaign-management]
bluekai	http://www.bluekai.com/	[data-management-platform-dmp]
lotame	http://www.lotame.com/	[data-management-platform-dmp]
adobe-audience-manager	http://www.adobe.com/products/audiencemanager.html	[data-management-platform-dmp]
datalogix	http://www.datalogix.com/	[data-management-platform-dmp]
origin-dmp-by-rocket-fuel	http://rocketfuel.com/solution/details/products-and-services/data-management-platform	[data-management-platform-dmp]
the-trade-desk-dmp	http://www.thetradedesk.com/data-management-platform-dmp/	[data-management-platform-dmp]
dataxu-dmp	https://www.dataxu.com/platform/what-is-dataxu/	[data-management-platform-dmp]
krux	http://www.krux.com/dmp/	[data-management-platform-dmp]
core-audience	http://coreaudience.com/	[data-management-platform-dmp]
retailigence	http://www.retailigence.com/	[data-management-platform-dmp]
adform-dmp	http://site.adform.com/agencies-advertisers/data-management-platform/	[data-management-platform-dmp]
xaxis-turbine	http://www.xaxis.com/products/view/turbine	[data-management-platform-dmp]
datatooth	http://www.datatooth.com	[data-management-platform-dmp]
konnektive	http://www.konnektive.com/	[data-management-platform-dmp]
vin-mdm-0f218910-086d-40bc-ac3c-9dfcf831e9af	http://vinculumgroup.com/product/vin-mdm/	[data-management-platform-dmp]
gridbank-enterprise	http://www.tarmin.com/products/gridbank-software/gridbank-enterprise	[data-management-platform-dmp]
tradetracker	http://www.tradetracker.com	[data-management-platform-dmp, native-advertising, ad-network, attribution, display-advertising, cross-channel-advertising, advertiser-campaign-management, other-digital-advertising]
neustar-platformone	http://www.neustar.biz/marketing-solutions	[data-management-platform-dmp]
acxiom-big-data-environment-bde	http://acxiom.com/	[data-management-platform-dmp]
motive-data-management-platform	http://www.alcatel-lucent.com/products/motive-data-management-platform	[data-management-platform-dmp]
exelate-dmp	http://exelate.com/products/max-dmp/	[data-management-platform-dmp]
flxone	http://www.flxone.com	[data-management-platform-dmp]
confluent	http://confluent.io/	[data-management-platform-dmp]
agencyplatform	https://www.agencyplatform.com/	[data-management-platform-dmp]
kontestapp	https://kontestapp.com/	[data-management-platform-dmp]
zx	http://www.zetainteractive.com/	[data-management-platform-dmp, attribution]
datagenic-genic-datamanager	http://www.datagenicgroup.com/products/enterprise-data-management/	[data-management-platform-dmp]
mediavoice	http://polar.me/mediavoice	[native-advertising]
c-a-s-t	http://castplatform.com/	[native-advertising]
hexagram	https://hexagram.com	[native-advertising]
distroscale	http://www.distroscale.com/	[native-advertising]
instinctive	https://instinctive.io/	[native-advertising]
kargo	http://www.kargo.com/	[native-advertising]
nativo	http://www.nativo.net/	[native-advertising]
sharethrough	http://sharethrough.com/	[native-advertising]
pubnative	http://pubnative.net/	[native-advertising]
solve-media	http://solvemedia.com/	[native-advertising]
spotfront	https://www.spotfront.com/	[native-advertising]
triplelift	http://www.triplelift.com/	[native-advertising]
revenue-com	https://revenue.com/	[native-advertising]
adsnative	http://adsnative.com/	[native-advertising]
launchbit	https://www.launchbit.com/	[native-advertising, display-advertising, advertiser-campaign-management]
linqia	http://www.linqia.com/	[native-advertising]
ytz-international	http://ytz.com/	[ad-network]
clickbooth	https://www.clickbooth.com/	[ad-network]
clicksmob-inc	http://clicksmob.com/	[ad-network]
convert2media	http://convert2media.com/	[ad-network]
maxbounty	http://maxbounty.com/	[ad-network]
engage-bdr	http://engagebdr.com/	[ad-network]
mediashakers	http://www.mediashakers.com/	[ad-network]
switch	http://www.switchconcepts.com/	[ad-network]
vertoz	http://www.vertoz.com/	[ad-network]
w4	http://w4.com/	[ad-network]
intent-media	http://intentmedia.com/	[ad-network]
bizprofits	http://www.bizprofits.com/	[ad-network]
bizible	http://bizible.com	[attribution]
adometry-attribute	http://www.adometry.com	[attribution]
ibm-digital-analytics-impression-attribution	http://www-03.ibm.com/software/products/en/impression-attribution	[attribution]
adgear-advertiser	http://adgear.com	[attribution, display-advertising, video-advertising, cross-channel-advertising, advertiser-campaign-management, mobile-advertising]
brightfunnel	http://www.brightfunnel.com/	[attribution]
c3-metrics	http://c3metrics.com/	[attribution]
live	https://live.groupm.com/static/solution-overview.aspx	[attribution]
roi-brain	http://www.marketingevolution.com/	[attribution]
marketshare-decisioncloud	http://www.marketshare.com/products	[attribution]
rakuten-attribution	http://marketing.rakuten.com/attribution	[attribution]
sylvan	http://www.ssctech.com/software/performancemeasurementglobalmarketsrisk/sylvan.aspx	[attribution]
tagcommander	http://www.tagcommander.com/en	[attribution]
black-ink	http://blackinkroi.com/benefits/	[attribution]
abakus	http://abakus.me/	[attribution]
adinton	http://adinton.com/	[attribution]
convertro	http://www.convertro.com/	[attribution]
visual-iq	http://www.visualiq.com/	[attribution]
pathmatics	http://www.pathmatics.com/	[attribution]
sparkfly	http://sparkfly.com/	[attribution]
optimahub-mediaattribution	http://www.datalicious.com/optimahub/mediaattribution-attribute-conversions-across-channels/	[attribution]
conversion-logic	http://www.conversionlogic.com/	[attribution]
claritix	http://claritix.io/solution/	[attribution]
thinkvine	http://www.thinkvine.com/	[attribution]
optimine	http://optimine.com/	[attribution]
sizmek	http://www.sizmek.com/	[display-advertising, video-advertising, search-advertising, social-advertising, cross-channel-advertising, advertiser-campaign-management, mobile-advertising]
kenshoo	http://www.kenshoo.com/	[display-advertising, search-advertising, social-advertising, cross-channel-advertising, advertiser-campaign-management, mobile-advertising, other-digital-advertising]
marin-software	http://www.marinsoftware.com/	[display-advertising, search-advertising, social-advertising, cross-channel-advertising, advertiser-campaign-management, mobile-advertising]
adobe-media-optimizer	http://www.adobe.com/solutions/media-optimization.html	[display-advertising, search-advertising, social-advertising, cross-channel-advertising, advertiser-campaign-management]
adroll	http://www.adroll.com/	[display-advertising, social-advertising, cross-channel-advertising, advertiser-campaign-management, mobile-advertising]
perfect-audience	http://www.perfectaudience.com/	[display-advertising, social-advertising, cross-channel-advertising, advertiser-campaign-management, mobile-advertising]
conversant	http://www.conversantmedia.com/solutions/enterprise-solutions/tools-and-tech/ad-serving	[display-advertising, video-advertising, search-advertising, social-advertising, cross-channel-advertising, advertiser-campaign-management, mobile-advertising]
quantcast-advertise	https://www.quantcast.com/advertise	[display-advertising, video-advertising, cross-channel-advertising, advertiser-campaign-management, publisher-ad-management, mobile-advertising]
reachlocal	http://www.reachlocal.com/us/en/solutions	[display-advertising, search-advertising, advertiser-campaign-management, other-digital-advertising]
atlas-solutions	http://atlassolutions.com/	[display-advertising, social-advertising, cross-channel-advertising, advertiser-campaign-management, mobile-advertising]
hasoffers	http://www.hasoffers.com/	[display-advertising, advertiser-campaign-management]
videology-campaign-engine	http://www.videologygroup.com/	[display-advertising, video-advertising, cross-channel-advertising, advertiser-campaign-management, mobile-advertising]
flite	http://www.flite.com/	[display-advertising, advertiser-campaign-management, mobile-advertising]
flashtalking	http://www.flashtalking.com/us/	[display-advertising, video-advertising, advertiser-campaign-management, mobile-advertising]
connexity	http://connexity.com/	[display-advertising, advertiser-campaign-management]
liquidus	http://www.liquidus.net	[display-advertising, video-advertising, social-advertising, advertiser-campaign-management, other-digital-advertising]
adtech	http://www.adtech.com/en/	[display-advertising, video-advertising, cross-channel-advertising, advertiser-campaign-management, mobile-advertising]
retargeter	http://retargeter.com/	[display-advertising, social-advertising, advertiser-campaign-management]
acxiom-digital-impact-email-services	http://aos.acxiom.com/	[display-advertising, social-advertising, advertiser-campaign-management, mobile-advertising]
steelhouse	http://www.steelhouse.com	[display-advertising, advertiser-campaign-management]
